Ticker,Flag Price,Buy Price,Flag Time,Buy Time,Time Between Flag and Buy,Lowest RSI,TTM Strength,P/L ($),P/L (%)
NOMD,18.28499984741211,18.29999923706055,30,43,13,26.49670068417103,0.002794630186897767,-8.14987564086914,-0.2732198860385201
NOMD,18.23999977111816,18.26499938964844,105,105,0,24.82754697420378,0.001277636800494149,-9.020050048828125,-0.3011240460645856
NOMD,18.20999908447266,18.2549991607666,145,144,-1,28.22266129450595,0.007653719357082062,2.460212707519531,0.08217637735810418
NOVA,4.800000190734863,4.804999828338623,70,71,1,29.85204928472596,0.02221852472850266,-15.03829193115234,-0.5015572876945741
NSP,102.8000030517578,102.9100036621094,40,54,14,19.98963123537594,0.02794359207153474,64.95993804931595,2.176657063509833
NU,11.85009956359863,11.85499954223633,270,271,1,27.67263604865708,0.003913286413464945,-7.589932441711426,-0.2530555388408919
NU,11.90999984741211,11.93669986724854,320,320,0,27.94095264645745,0.04480307953698279,29.69340991973877,0.9910648608317141
NVST,18.76000022888184,18.77000045776367,85,84,-1,29.38165942276777,0.01096300329480815,23.84993934631348,0.7991455240920381
NXDT,5.880000114440918,5.900000095367432,35,50,15,25.46045965341013,0.006861004659107481,5.079874038696289,0.1694873200515598
NXDT,5.900000095367432,5.940000057220459,95,99,4,26.8623153704183,0.01435523339680265,-20.19998073577881,-0.6734000247088343
OBK,33.34000015258789,33.3650016784668,75,75,0,25.23344593865225,0.05014179638453836,-10.68024444580078,-0.3596665384239408
OI,13.73999977111816,13.74699974060059,225,224,-1,26.63024986477436,0.02350637061255328,-11.29235076904297,-0.3768078500571705
OI,13.61999988555908,13.625,325,324,-1,24.77206916590622,0.02146736792155715,-7.699966430664062,-0.2568796140338303
OMF,50.33000183105469,50.35749816894531,10,9,-1,28.70803945533187,0.0750975949423654,-9.292346954345703,-0.3127585994790059
OMF,49.90000152587891,49.93000030517578,110,117,7,27.82461359205452,0.03916757174900598,-8.700027465820312,-0.290407484232763
OMI,20.18000030517578,20.19000053405762,355,375,20,28.5396955446686,0.03249252864292768,0.0,0.0
ORC,8.59000015258789,8.595000267028809,360,361,1,28.21180954571874,0.01933412279401506,-8.236601829528809,-0.2745849630585749
OTIS,96.7699966430664,96.81999969482422,375,379,4,28.42196212802011,0.002050816672194922,13.46992492675827,0.4637445765067444
OUST,11.97500038146973,11.97999954223633,355,369,14,29.89205986986788,0.00934672015053864,-9.999990463256836,-0.3338895106965962
OXM,106.2774963378906,106.4300003051758,125,129,4,25.92534885508051,0.1566379002162365,-8.679931640625,-0.2912689633607701
PARR,27.97999954223633,28.01499938964844,360,369,9,25.44701433795693,0.01112163475581572,-5.885032653808594,-0.1963244917867244
PBI,5.425000190734863,5.429999828338623,340,343,3,27.85926902870025,0.00436251844678627,-8.279926300048828,-0.2762406438267808
PBR,15.44499969482422,15.48499965667725,80,80,0,18.13610166467393,0.02745064633233185,0.0,0.0
PBT,12.73499965667725,12.84000015258789,135,154,19,29.16322580058745,0.008524136202676336,-8.154964447021484,-0.2725844781633837
PEB,14.82999992370605,14.84000015258789,245,244,-1,22.02404542874697,0.006575291837964903,-8.079992294311523,-0.2695415191491888
PMT,14.94999980926514,14.95499992370605,385,384,-1,28.5305391748165,0.009372935976300928,4.999923706054233,0.167165621249152
PPG,134.9649963378906,135.0767059326172,340,350,10,27.78338532168802,0.01565716334751943,-0.58746337890625,-0.01976867934038582
PRI,227.0099945068359,227.2350006103516,100,117,17,17.80382960759104,0.1088456944056899,-8.385055541992188,-0.2838489980541997
PX,8.274999618530273,8.289999961853027,385,386,1,28.10690565793601,0.006404157706669696,-3.610082626342773,-0.1206300232551585
QD,1.985000014305115,1.990000009536743,295,295,0,28.03199929394508,0.002496422699519628,-7.534992814064026,-0.25125604058627
QS,6.025000095367432,6.03000020980835,80,80,0,29.65509173574644,0.0191521218844822,-9.939990520477295,-0.3316746306904246
QS,5.940000057220459,5.949999809265137,245,244,-1,29.28842140569428,0.005810045685087001,-10.07999038696289,-0.3361341439939272
RBOT,0.3142000138759613,0.3179000020027161,130,142,12,23.98877465140751,0.001174778725419719,-33.96961259841919,-1.132431995113132
RCL,140.3899993896484,140.5500030517578,45,46,1,28.5864989001408,0.163318377903534,-9.030166625976562,-0.3059465850114292
RF,20.31999969482422,20.32999992370605,10,10,0,29.61817493214922,0.06707356316702737,-9.393299102783203,-0.3143137930953604
RXO,20.79000091552734,20.82999992370605,85,95,10,27.38587006692713,0.01155956336430125,4.32009887695358,0.1440263406403802
SAVE,4.136000156402588,4.150000095367432,130,130,0,23.04717652265356,0.02316818986620237,-14.43998622894287,-0.4819272401665552
SBH,10.95499992370605,10.97999954223633,305,312,7,24.72382982939104,0.002567468711307697,-8.189927101135254,-0.27322162315028
SCCO,120.75,120.9000015258789,75,77,2,29.37423936253896,0.397841197422574,15.35998535156295,0.5293625984871838
SD,13.92500019073486,13.9350004196167,310,310,0,28.13029490919426,0.004354567868368353,-7.525172233581543,-0.2511718696265997
SHEL,72.62999725341797,72.66000366210938,75,75,0,23.62843172680589,0.0801097951616565,23.57487487792969,0.7913527652931237
SID,2.654999971389771,2.660000085830688,70,72,2,26.53051023651216,0.005393180932317332,0.0,0.0
SKT,28.51000022888184,28.52000045776367,160,172,12,25.21201781087301,0.01912049157278861,-8.399991989135742,-0.2805046368233042
SKT,28.22500038146973,28.23500061035156,340,341,1,29.33321408043378,0.01219657693590445,-7.950080871582031,-0.2656304633191905
SMG,70.3499984741211,70.37999725341797,230,239,9,22.77942711954712,0.01709174564906701,-9.659820556640625,-0.3267913278128082
SMG,69.46070098876953,69.56500244140625,355,360,5,22.2284627207864,0.01337063653128334,-5.375,-0.1796880552189817
SMRT,2.710000038146973,2.714999914169312,330,334,4,22.26124000465099,0.007096422059195404,38.64009475708008,1.289137640411204
SN,72.11499786376953,72.20500183105469,380,384,4,22.90162215074059,0.02383272171020612,-5.125,-0.1731182007203255
SPCE,1.065000057220459,1.069599986076355,75,75,0,19.66925402815954,0.003569347006933954,43.18174600601196,1.439795462891706
SQSP,43.13000106811523,43.14500045776367,120,120,0,24.72613610864011,0.004128969737462393,0.6898841857910156,0.02317376620030604
SR,61.95000076293945,62.0,350,350,0,29.7194003826346,0.01432042939322306,1.9200439453125,0.06451760568926411
STE,233.1399993896484,233.5399932861328,200,204,4,20.48750418591794,0.2683145305088512,12.96002197265625,0.462448343796718
SU,38.70000076293945,38.7400016784668,55,55,0,27.54655877429828,0.02972623825073178,45.04492950439453,1.510064685407129
SVV,13.76000022888184,13.78499984741211,90,98,8,29.86956409794998,0.01565000499997837,-9.765016555786133,-0.3264423416181124
SVV,13.51000022888184,13.52499961853027,345,346,1,17.61047968044466,0.01560361078807221,-16.57495784759521,-0.5545272560479877
SVV,13.42000007629395,13.4399995803833,375,381,6,23.08735540743191,0.007810739789690629,-8.919991493225098,-0.2976187730795046
